30;1;30;459947;
30;2;435;24320;
30;3;4060;26453;
30;4;27405;17920;
30;5;142506;46080;
30;6;593775;33707;
30;7;2035800;29867;
30;8;5852925;33280;
30;9;14307150;35413;
30;10;30045015;39680;
30;11;54627300;70827;
30;12;86493225;83200;
30;13;119759850;52907;
30;14;145422675;57174;
30;15;155117520;70400;
30;16;145422675;112640;
30;17;119759850;62720;
30;18;86493225;119040;
30;19;54627300;51627;
30;20;30045015;35414;
30;21;14307150;32000;
30;22;5852925;29867;
30;23;2035800;60587;
30;24;593775;67413;
30;25;142506;20907;
30;26;27405;23040;
30;27;4060;11520;
30;28;435;11520;
30;29;30;6400;
30;30;1;2560;
