1000;50;9.46046E+84;8209920
1000;100;6.3851E+139;5284694
1000;150;1.3432E+182;3933013
1000;200;6.6172E+215;4269654
1000;250;4.8228E+242;7394133
1000;300;5.4283E+263;4112640
1000;350;4.0253E+279;3486293
1000;400;4.9653E+290;2970880
1000;450;1.8151E+297;3452160
1000;500;2.7029E+299;3670186
1000;550;1.8151E+297;931840
1000;600;4.9653E+290;1130240
1000;650;4.0253E+279;1136214
1000;700;5.4283E+263;1021866
1000;750;4.82E+242;1117013
1000;800;6.6172E+215;1115307
1000;850;1.3432E+182;1040640
1000;900;6.3851E+139;986027
1000;950;9.46046E+84;1158827
1000;1000;1;4149333
