30;0;1;810666;
30;1;30;109227;
30;2;435;90880;
30;3;4060;119040;
30;4;27405;81067;
30;5;142506;90880;
30;6;593775;114773;
30;7;2035800;90880;
30;8;5852925;208213;
30;9;14307150;317867;
30;10;30045015;68693;
30;11;54627300;95573;
30;12;86493225;60160;
30;13;119759850;68693;
30;14;145422675;61013;
30;15;155117520;54186;
30;16;145422675;58454;
30;17;119759850;89173;
30;18;86493225;54187;
30;19;54627300;55040;
30;20;30045015;51200;
30;21;14307150;48213;
30;22;5852925;47787;
30;23;2035800;48214;
30;24;593775;85760;
30;25;142506;74666;
30;26;27405;87040;
30;27;4060;74240;
30;28;435;88746;
30;29;30;82773;
30;30;1;60160;
