30;0;1;69973;
30;1;30;466346;
30;2;435;26027;
30;3;4060;27307;
30;4;27405;20907;
30;5;142506;41814;
30;6;593775;32427;
30;7;2035800;29866;
30;8;5852925;32000;
30;9;14307150;45226;
30;10;30045015;65280;
30;11;54627300;76374;
30;12;86493225;64427;
30;13;119759850;79787;
30;14;145422675;58453;
30;15;155117520;68267;
30;16;145422675;118187;
30;17;119759850;50773;
30;18;86493225;45226;
30;19;54627300;59733;
30;20;30045015;84906;
30;21;14307150;32853;
30;22;5852925;38400;
30;23;2035800;32854;
30;24;593775;24747;
30;25;142506;20054;
30;26;27405;15360;
30;27;4060;13226;
30;28;435;8107;
30;29;30;5120;
30;30;1;1280;
